id,dzcode,coord_long,coord_lat,pos_x,pos_y,cityname_chn,cityname_eng,cpop2000,cpop2010,upop2000,upop2010,cityclass
219,4601,110.31,20.030001,7020,8085,海口市,Haikou,83.019203,204.6189,75.764,151.741,4
220,4602,109.5,18.25,6848,8464,三亚市,Sanya,48.229599,68.540802,30.9848,45.381901,2
221,5001,108.4,30.82,6657,5738,重庆市,Chongqing,3051.2759,2884.6201,1009.551,1529.58,7
222,5101,104.07,30.67,5850,5740,成都市,Chengdu,1110.853,1404.762,596.78192,923.70148,6
223,5103,104.78,29.35,5967,6038,自贡市,Zigong,303.37631,267.8898,86.034897,109.8902,4
224,5104,101.7,26.540001,5333,6612,攀枝花市,Panzhihua,109.1657,121.4121,61.066101,72.973999,3
225,5105,105.37,28.870001,6074,6148,泸州市,Luzhou,410.21649,421.84259,108.6988,148.7444,4
226,5106,104.38,31.129999,5914,5643,德阳市,Deyang,378.8056,361.5759,120.2464,149.3992,4
227,5107,104.72,31.41,5980,5584,绵阳市,Mianyang,517.0141,461.3862,168.4709,183.8667,4
228,5108,105.86,32.400002,6200,5376,广元市,Guangyuan,306.3291,248.41229,73.548897,81.920601,3
229,5109,105.55,30.469999,6124,5799,遂宁市,Suining,347.70129,325.2551,89.244499,119.9558,4
230,5110,105.03,29.549999,6017,5996,内江市,Neijiang,416.03049,370.2847,118.9181,140.1041,4
231,5111,103.72,29.58,5770,5976,乐山市,Leshan,332.41391,323.57559,86.575302,127.7315,4
232,5113,106.05,30.85,6221,5719,南充市,Nanchong,668.34058,627.86218,140.2881,225.46651,4
233,5114,103.83,30.049999,5797,5874,眉山市,Meishan,320.51709,295.05481,60.217999,97.555603,3
234,5115,104.6,28.790001,5926,6159,宜宾市,Yibin,488.72421,447.2001,120.2136,150.0544,4
235,5116,106.63,30.469999,6325,5807,广安市,GuangAn,412.41,320.54761,68.606903,93.1959,3
236,5117,107.47,31.25,6487,5639,达州市,Dazhou,579.31439,546.8092,89.510399,178.8418,4
