id,dzcode,coord_long,coord_lat,pos_x,pos_y,cityname_chn,cityname_eng,cpop2000,cpop2010,upop2000,upop2010,cityclass
137,3711,119.52,35.419998,8625,4645,日照市,Rizhao,268.5928,280.10999,95.186699,131.8689,4
138,3712,117.67,36.220001,8288,4496,莱芜市,Laiwu,123.3525,129.85001,48.673698,66.880501,3
139,3713,118.35,35.049999,8427,4745,临沂市,Linyi,994.2652,1003.94,278.65311,452.293,5
140,3714,116.3,37.450001,8032,4241,德州市,Dezhou,529.36737,556.82001,149.21049,239.6974,4
141,3715,115.98,36.450001,7991,4465,聊城市,Liaocheng,541.21149,578.98999,142.5249,213.46609,4
142,3716,117.97,37.380001,8319,4236,滨州市,Binzhou,356.39209,374.85001,86.920403,171.3351,4
143,3717,115.43,35.25,7911,4736,菏泽市,Heze,809.7973,828.78003,168.9483,290.1709,4
144,4101,113.62,34.75,7596,4861,郑州市,Zhengzhou,665.6759,862.65051,366.45169,547.74951,6
145,4102,114.3,34.799999,7716,4845,开封市,Kaifeng,458.65329,467.61591,88.117599,165.8481,4
146,4103,112.45,34.619999,7390,4896,洛阳市,Luoyang,622.76648,654.94861,187.0406,288.83551,4
147,4104,113.18,33.77,7525,5080,平顶山市,Pingdingshan,480.4924,490.43671,143.9305,202.242,4
148,4105,114.38,36.099998,7718,4557,安阳市,Anyang,516.1106,517.28339,132.4381,198.5666,4
149,4106,114.28,35.75,7704,4635,鹤壁市,Hebi,140.18719,156.91,48.548302,74.428497,3
150,4107,113.9,35.299999,7641,4737,新乡市,Xinxiang,540.74329,570.78009,127.4302,232.8848,4
151,4108,113.25,35.220001,7527,4759,焦作市,Jiaozuo,391.52939,353.98599,128.48129,165.7588,4
152,4109,115.03,35.77,7834,4625,濮阳市,Puyang,345.83319,359.8494,75.733803,112.7083,4
153,4110,113.79,34,7633,5025,许昌市,Xuchang,412.4086,430.71991,83.941902,165.6644,4
154,4111,114.02,33.5,7679,5134,漯河市,Luohe,226.2404,254.41029,53.370602,99.458603,3
155,4112,111.2,34.75,7168,4871,三门峡市,Sanmenxia,217.7428,223.38721,71.682999,98.269302,3
156,4113,112.52,33,7411,5253,南阳市,Nanyang,957.7771,1026.301,193.0773,333.35989,5
157,4114,115.65,34.450001,7960,4910,商丘市,Shangqiu,775.3844,736.24719,102.3886,217.1557,4
158,4115,114.07,32.130001,7700,5436,信阳市,Xinyang,652.73682,610.86829,119.1525,208.7765,4
159,4116,114.65,33.619999,7791,5103,周口市,Zhoukou,974.1283,895.3172,126.4706,263.75549,4
