          id,         long,          lat,        pos_x,        pos_y,            k,            h
         o_1,     104.0400,      31.3200,         5853,         5597, 0.9858123288, 1.0143918581
         o_2,     113.8200,      22.8800,         7733,         7458, 1.0068001773, 0.9932457528
         o_3,     114.0800,      22.8800,         7786,         7456, 1.0068001773, 0.9932457528
         o_4,     116.4200,      39.9300,         8017,         3692, 0.9831739250, 1.0171140371
         o_5,     119.1300,      36.9600,         8525,         4312, 0.9816318758, 1.0187118253
