id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,3.06157683760054
o_4,116.42,39.93,112.75,37.68,6.22675539235522
o_2,113.82,22.88,113.94,22.83,1.13685802856312
o_2,113.82,22.88,118.09,24.49,8.58568685288421
o_2,113.82,22.88,114.88,40.82,26.2460482886746
o_2,113.82,22.88,104.09,30.67,20.8726718360084
o_3,114.08,22.88,113.98,22.84,1.37189454704479
o_1,104.04,31.32,103.79,28.49,10.708630007484
o_1,104.04,31.32,108.33,22.82,18.9216387290077
o_1,104.04,31.32,102.67,28.04,15.4666374579062
o_1,104.04,31.32,116.43,39.92,24.8694611756915
o_1,104.04,31.32,104.26,30.88,6.14869042267001
o_5,119.13,36.96,116.62,40.34,10.2317432660103
o_5,119.13,36.96,118.71,39.99,11.219808447393
o_5,119.13,36.96,106.49,29.88,27.0540831066364
o_5,119.13,36.96,116.98,36.68,5.71656630147458
o_5,119.13,36.96,109.36,24.31,25.598501488336
