id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,3.88747508142257
o_4,116.42,39.93,112.75,37.68,2.37521456253777
o_2,113.82,22.88,113.94,22.83,1.65128082080206
o_2,113.82,22.88,118.09,24.49,5.53993529584868
o_2,113.82,22.88,114.88,40.82,12.5125024864022
o_2,113.82,22.88,104.09,30.67,11.1508295812874
o_3,114.08,22.88,113.98,22.84,1.3019363361291
o_1,104.04,31.32,103.79,28.49,10.3845263863986
o_1,104.04,31.32,108.33,22.82,11.9179533029636
o_1,104.04,31.32,102.67,28.04,7.85585193399918
o_1,104.04,31.32,116.43,39.92,7.84274327794022
o_1,104.04,31.32,104.26,30.88,1.60395895642636
o_5,119.13,36.96,116.62,40.34,4.73154255593053
o_5,119.13,36.96,118.71,39.99,5.76408147997453
o_5,119.13,36.96,106.49,29.88,10.1098747711684
o_5,119.13,36.96,116.98,36.68,2.76042729563118
o_5,119.13,36.96,109.36,24.31,9.78991010667938
