id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,3.88747508142438
o_4,116.42,39.93,112.75,37.68,4.07462351868059
o_2,113.82,22.88,113.94,22.83,1.65128082080206
o_2,113.82,22.88,118.09,24.49,7.63909740613002
o_2,113.82,22.88,114.88,40.82,21.4373872519535
o_2,113.82,22.88,104.09,30.67,17.1206616198069
o_3,114.08,22.88,113.98,22.84,1.3019363361291
o_1,104.04,31.32,103.79,28.49,10.916024316308
o_1,104.04,31.32,108.33,22.82,14.0249185967683
o_1,104.04,31.32,102.67,28.04,8.02428148888604
o_1,104.04,31.32,116.43,39.92,15.6788268171351
o_1,104.04,31.32,104.26,30.88,1.61175154463671
o_5,119.13,36.96,116.62,40.34,6.06590937654262
o_5,119.13,36.96,118.71,39.99,6.74438697169668
o_5,119.13,36.96,106.49,29.88,17.8839916442279
o_5,119.13,36.96,116.98,36.68,3.79387693821971
o_5,119.13,36.96,109.36,24.31,14.9023139855331
