id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,4.05721974859098
o_4,116.42,39.93,112.75,37.68,4.07462351868058
o_2,113.82,22.88,113.94,22.83,1.65128082080206
o_2,113.82,22.88,118.09,24.49,13.1450640011852
o_2,113.82,22.88,114.88,40.82,21.6026205320442
o_2,113.82,22.88,104.09,30.67,19.6391829036079
o_3,114.08,22.88,113.98,22.84,1.3019363361291
o_1,104.04,31.32,103.79,28.49,11.2016359635174
o_1,104.04,31.32,108.33,22.82,17.211457375133
o_1,104.04,31.32,102.67,28.04,8.10421581388079
o_1,104.04,31.32,116.43,39.92,15.6791258293815
o_1,104.04,31.32,104.26,30.88,1.61175154463671
o_5,119.13,36.96,116.62,40.34,7.07605093685025
o_5,119.13,36.96,118.71,39.99,7.75424656237867
o_5,119.13,36.96,106.49,29.88,18.5214252886665
o_5,119.13,36.96,116.98,36.68,3.79461465093565
o_5,119.13,36.96,109.36,24.31,17.9151498164674
