id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,2.57556935267599
o_4,116.42,39.93,112.75,37.68,5.03495451899377
o_2,113.82,22.88,113.94,22.83,1.13685802856312
o_2,113.82,22.88,118.09,24.49,8.41029663557913
o_2,113.82,22.88,114.88,40.82,24.5836331331178
o_2,113.82,22.88,104.09,30.67,19.4052229097267
o_3,114.08,22.88,113.98,22.84,1.37189454704479
o_1,104.04,31.32,103.79,28.49,7.58631725695861
o_1,104.04,31.32,108.33,22.82,15.1633635567182
o_1,104.04,31.32,102.67,28.04,12.2462893292325
o_1,104.04,31.32,116.43,39.92,19.0664607074839
o_1,104.04,31.32,104.26,30.88,2.51488518869798
o_5,119.13,36.96,116.62,40.34,6.76038284846588
o_5,119.13,36.96,118.71,39.99,7.147645522791
o_5,119.13,36.96,106.49,29.88,20.7978352599005
o_5,119.13,36.96,116.98,36.68,3.7685527113178
o_5,119.13,36.96,109.36,24.31,21.898009377464
