id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,2.36419340760726
o_4,116.42,39.93,112.75,37.68,4.39879663947625
o_2,113.82,22.88,113.94,22.83,0.88978698394988
o_2,113.82,22.88,118.09,24.49,7.0038429900892
o_2,113.82,22.88,114.88,40.82,21.9792510502284
o_2,113.82,22.88,104.09,30.67,16.2374819434708
o_3,114.08,22.88,113.98,22.84,1.23040866480046
o_1,104.04,31.32,103.79,28.49,6.033431455615
o_1,104.04,31.32,108.33,22.82,13.7777102246479
o_1,104.04,31.32,102.67,28.04,8.50486039095147
o_1,104.04,31.32,116.43,39.92,17.882158895773
o_1,104.04,31.32,104.26,30.88,2.1768008772637
o_5,119.13,36.96,116.62,40.34,5.80373120788592
o_5,119.13,36.96,118.71,39.99,5.64437049986738
o_5,119.13,36.96,106.49,29.88,17.689683223594
o_5,119.13,36.96,116.98,36.68,2.89556497365112
o_5,119.13,36.96,109.36,24.31,19.4404144208568
