id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,3.66041399158394
o_4,116.42,39.93,112.75,37.68,4.4944936909132
o_2,113.82,22.88,113.94,22.83,1.48523464291132
o_2,113.82,22.88,118.09,24.49,23.3392914246785
o_2,113.82,22.88,114.88,40.82,26.3092498871154
o_2,113.82,22.88,104.09,30.67,24.0700576863365
o_3,114.08,22.88,113.98,22.84,1.10480666821211
o_1,104.04,31.32,103.79,28.49,13.0093611349336
o_1,104.04,31.32,108.33,22.82,19.474940506587
o_1,104.04,31.32,102.67,28.04,7.41685525979152
o_1,104.04,31.32,116.43,39.92,18.1181487882825
o_1,104.04,31.32,104.26,30.88,1.46922497734691
o_5,119.13,36.96,116.62,40.34,9.34222282555475
o_5,119.13,36.96,118.71,39.99,10.0435117462232
o_5,119.13,36.96,106.49,29.88,21.6380400125611
o_5,119.13,36.96,116.98,36.68,4.50654773168081
o_5,119.13,36.96,109.36,24.31,21.8152094599392
