origin,destination,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
1101,1201,1.80075773773116,1.80075773773116,1.80075773773116,1.80075773773116,1.80075773773116,1.80075773773116,1.80075773773116,1.79755752639699,1.79755752639699,1.79755752639699,1.44666548852388,1.44666548852388,1.44666548852388,1.2634920755018,0.904458503969485,0.904458503969485,0.904458503969485,0.837797272450097,0.837797272450097,0.837797272450097,0.837797272450097,0.837797272450097,0.837797272450097,0.837797272450097,0.837797272450097,0.837797272450097,0.837797272450097,0.736088843596999,0.736088843596999,0.736088843596999,0.736088843596999
1101,1301,3.16938726537043,3.16938726537043,3.16938726537043,3.16938726537043,3.16938726537043,3.16938726537043,3.16938726537043,3.12278963887909,3.12278963887909,3.12278963887909,2.45466292934332,2.45466292934332,2.45466292934332,2.4521966129175,2.44672505619519,2.44672505619519,2.44672505619519,2.44234665152468,1.45256791798671,1.45256791798671,1.45256791798671,1.45256791798671,1.45256791798671,1.45256791798671,1.45256791798671,1.45256791798671,1.45256791798671,1.31735885985976,1.31735885985976,1.31735885985976,1.31735885985976
1201,1301,4.0100078967699,4.0100078967699,4.0100078967699,4.0100078967699,4.0100078967699,4.0100078967699,4.0100078967699,3.6322428502387,3.6322428502387,3.6322428502387,3.04136115321739,3.04136115321739,3.04136115321739,2.85725945577405,2.55782937574844,2.55782937574844,2.55782937574844,2.55782937574844,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444,1.57668190004444
1101,1302,3.57379524888196,3.57379524888196,3.57379524888196,3.57379524888196,3.57379524888196,3.57379524888196,3.57379524888196,3.57059503754779,3.57059503754779,3.57059503754779,2.91013586273196,2.91013586273196,2.91013586273196,2.54122216754425,2.23750152015733,2.23750152015733,2.23750152015733,2.17084028863794,2.17084028863794,2.17084028863794,2.17084028863794,2.17084028863794,2.17084028863794,2.17084028863794,2.17084028863794,2.17084028863794,2.17084028863794,2.06913185978484,1.62770177664557,1.62770177664557,1.62770177664557
1201,1302,2.06899785053029,2.06899785053029,2.06899785053029,2.06899785053029,2.06899785053029,2.06899785053029,2.06899785053029,2.06899785053029,2.06899785053029,2.06899785053029,1.73158195948119,1.73158195948119,1.73158195948119,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52913242485174,1.52838979101199,1.52838979101199,1.52838979101199
1301,1302,5.78304540792071,5.78304540792071,5.78304540792071,5.78304540792071,5.78304540792071,5.78304540792071,5.78304540792071,5.40528036138951,5.40528036138951,5.40528036138951,4.50483152742547,4.50483152742547,4.50483152742547,4.1349895478165,3.89087239193628,3.89087239193628,3.89087239193628,3.89087239193628,2.90972491623228,2.90972491623228,2.90972491623228,2.90972491623228,2.90972491623228,2.90972491623228,2.90972491623228,2.90972491623228,2.90972491623228,2.90972491623228,2.5295188215933,2.5295188215933,2.5295188215933
1101,1303,4.34140487529978,4.34140487529978,4.34140487529978,4.34072975721497,4.34016715881096,4.34016715881096,4.34016715881096,4.34016715881096,4.34016715881096,4.34016715881096,4.00830531427169,4.00830531427169,4.00830531427169,3.44749988347323,3.14377923608631,3.14377923608631,3.14377923608631,3.07711800456692,3.07711800456692,3.07711800456692,3.07711800456692,3.07711800456692,3.07711800456692,3.07711800456692,3.07711800456692,3.07711800456692,3.07711800456692,2.97540957571383,2.63995415843961,2.63995415843961,2.63995415843961
1201,1303,3.5349392753577,3.5349392753577,3.5349392753577,3.49711363442236,3.48698686142125,3.48698686142125,3.48698686142125,3.48698686142125,3.48698686142125,3.48698686142125,2.82975141102092,2.82975141102092,2.82975141102092,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43541014078073,2.43466750694097,2.43466750694097,2.43466750694097
1301,1303,6.95646117268067,6.95646117268067,6.95646117268067,6.95578605459586,6.95522345619185,6.95522345619185,6.95522345619185,6.82326937228047,6.82326937228047,6.82326937228047,5.6030009789652,5.6030009789652,5.6030009789652,5.04126726374548,4.79715010786526,4.79715010786526,4.79715010786526,4.79715010786526,3.81600263216127,3.81600263216127,3.81600263216127,3.81600263216127,3.81600263216127,3.81600263216127,3.81600263216127,3.81600263216127,3.81600263216127,3.81600263216127,3.54177120338734,3.54177120338734,3.54177120338734
1302,1303,2.72004465487018,2.72004465487018,2.72004465487018,2.68221901393484,2.67209224093373,2.67209224093373,2.67209224093373,2.67209224093373,2.67209224093373,2.67209224093373,2.35227268158249,2.35227268158249,2.35227268158249,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175,2.16038094597175
