origin,destination,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
1101,1201,1.49179655503308,1.49179655503308,1.49179655503308,1.49179655503308,1.49179655503308,1.49179655503308,1.49179655503308,1.48914541315893,1.48914541315893,1.48914541315893,1.19845693112738,1.19845693112738,1.19845693112738,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755,1.04671110724755
1101,1301,2.62560637945802,2.62560637945802,2.62560637945802,2.62560637945802,2.62560637945802,2.62560637945802,2.62560637945802,2.5870036417238,2.5870036417238,2.5870036417238,2.03350935277694,2.03350935277694,2.03350935277694,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159,2.03146618935159
1201,1301,3.32199931213061,3.32199931213061,3.32199931213061,3.32199931213061,3.32199931213061,3.32199931213061,3.32199931213061,3.00904850080315,3.00904850080315,3.00904850080315,2.51954607547464,2.51954607547464,2.51954607547464,2.36703123560076,2.36703123560076,2.36703123560076,2.36703123560076,2.36703123560076,2.36703123560076,2.36703123560076,2.36703123560076,1.99825025817155,1.99825025817155,1.99825025817155,1.99825025817155,1.99825025817155,1.99825025817155,1.99825025817155,1.99825025817155,1.99825025817155,1.99825025817155
1101,1302,2.30981346881676,2.30981346881676,2.30981346881676,2.30981346881676,2.30981346881676,2.30981346881676,2.30981346881676,2.30981346881676,2.30981346881676,2.30981346881676,2.29393865704996,2.29393865704996,2.29393865704996,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702,1.9874195826702
1201,1302,1.59861871641353,1.59861871641353,1.59861871641353,1.59861871641353,1.59861871641353,1.59861871641353,1.59861871641353,1.59861871641353,1.59861871641353,1.59861871641353,1.31759263562153,1.31759263562153,1.31759263562153,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633,1.14897698714633
1301,1302,4.47619703830542,4.47619703830542,4.47619703830542,4.47619703830542,4.47619703830542,4.47619703830542,4.47619703830542,4.36248564422563,4.36248564422563,4.36248564422563,3.61502780139722,3.61502780139722,3.61502780139722,3.3077397110234,3.3077397110234,3.3077397110234,3.3077397110234,3.3077397110234,3.3077397110234,3.3077397110234,3.3077397110234,2.93895873359419,2.93895873359419,2.93895873359419,2.93895873359419,2.93895873359419,2.93895873359419,2.93895873359419,2.93895873359419,2.93895873359419,2.93895873359419
1101,1303,3.22001511220422,3.22001511220422,3.22001511220422,3.21945582607035,3.21898975429213,3.21898975429213,3.21898975429213,3.21898975429213,3.21898975429213,3.21898975429213,3.07633462135763,3.07633462135763,3.07633462135763,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856,2.85600241602856
1201,1303,2.92843958003696,2.92843958003696,2.92843958003696,2.89710379307522,2.88871449963495,2.88871449963495,2.88871449963495,2.88871449963495,2.88871449963495,2.88871449963495,2.34424282517853,2.34424282517853,2.34424282517853,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469,2.01755982050469
1301,1303,5.38639868169288,5.38639868169288,5.38639868169288,5.38583939555902,5.38537332378079,5.38537332378079,5.38537332378079,5.34672732604261,5.34672732604261,5.34672732604261,4.64167799095423,4.64167799095423,4.64167799095423,4.17632254438176,4.17632254438176,4.17632254438176,4.17632254438176,4.17632254438176,4.17632254438176,4.17632254438176,4.17632254438176,3.80754156695255,3.80754156695255,3.80754156695255,3.80754156695255,3.80754156695255,3.80754156695255,3.80754156695255,3.80754156695255,3.80754156695255,3.80754156695255
1302,1303,2.13154830843594,2.13154830843594,2.13154830843594,2.1002125214742,2.09182322803393,2.09182322803393,2.09182322803393,2.09182322803393,2.09182322803393,2.09182322803393,1.82728486920502,1.82728486920502,1.82728486920502,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045,1.66831655041045
