seg_id,long,lat,pos_x,pos_y,index,speed,time,usage_type,terrain
rail_1,117.691392905876,38.8927940738387,8245,3906,72790182,200,0.00254832225163673,both,0
rail_1,117.685454375848,38.8931400811315,8244,3906,72781353,200,0.00254832222469689,both,0
rail_1,117.679515790738,38.8934858217813,8243,3906,72772524,200,0.00254832219777668,both,0
rail_1,117.673112493006,38.8893241137782,8242,3907,72763696,200,0.00254832227007008,both,0
rail_1,117.667174154597,38.8896692992254,8241,3907,72754867,200,0.00254832224320239,both,0
rail_1,117.66123576124,38.8900142180345,8240,3907,72746038,200,0.00254832221635226,both,0
rail_1,117.655297312978,38.8903588702015,8239,3907,72737209,200,0.00254832218952979,both,0
rail_1,117.648895635281,38.8861959981868,8238,3908,72728381,200,0.0025483222617571,both,0
rail_1,117.642957434071,38.8865400952246,8237,3908,72719552,200,0.00254832223498605,both,0
rail_1,117.637019178089,38.8868839256253,8236,3908,72710723,200,0.00254832220822571,both,0
rail_1,117.630618818902,38.8827201783726,8235,3909,72701895,200,0.00254832228036587,both,0
rail_1,117.62468081023,38.8830634537085,8234,3909,72693066,200,0.00254832225366393,both,4
rail_1,117.61828146766,38.8788991198128,8233,3910,72684238,200,0.00254832232567783,both,4
rail_1,117.61234370646,38.8792418401396,8232,3910,72675409,200,0.00254832229902671,both,4
rail_1,117.606405890718,38.8795842938431,8231,3910,72666580,200,0.00254832227239515,both,4
rail_1,117.600007866966,38.8754190850858,8230,3911,72657752,200,0.00254832234431598,both,4
rail_1,117.594070298954,38.8757609838447,8229,3911,72648923,200,0.00254832231774133,both,1
rail_1,117.587673291935,38.8715951887142,8228,3912,72640095,200,0.00254832238953914,both,1
rail_1,117.581735971816,38.8719365325843,8227,3912,72631266,200,0.00254832236300805,both,1
rail_1,117.575798597383,38.8722776098452,8226,3912,72622437,200,0.00254832233650157,both,1
rail_1,117.569402909491,38.8681109402291,8225,3913,72613609,200,0.0025483224082046,both,1
rail_1,117.563465783207,38.8684514626658,8224,3913,72604780,200,0.00254832238175209,both,1
rail_1,117.557071112163,38.8642842069463,8223,3914,72595952,200,0.00254832245332738,both,1
rail_1,117.550677155477,38.8601166533646,8222,3915,72587124,200,0.00254832252474808,both,1
rail_1,117.544740580019,38.8604563329029,8221,3915,72578295,200,0.00254832249838012,both,1
rail_1,117.538803950527,38.8607957458586,8220,3915,72569466,200,0.00254832247202703,both,1
rail_1,117.532411313245,38.8566273182662,8219,3916,72560638,200,0.0025483225433593,both,1
rail_1,117.526474932393,38.8569661765651,8218,3916,72551809,200,0.00254832251705761,both,1
rail_1,117.520083312025,38.8527971632032,8217,3917,72542981,200,0.0025483225882594,both,1
rail_1,117.514147179976,38.8531354669012,8216,3917,72534152,200,0.00254832256201474,both,1
rail_1,117.507756576545,38.8489658678811,8215,3918,72525324,200,0.00254832263309339,both,1
rail_1,117.501366687279,38.8447959712566,8214,3919,72516496,200,0.00254832270400854,both,1
rail_1,117.495431106989,38.845133432467,8213,3919,72507667,200,0.0025483226778501,both,1
rail_1,117.489042234633,38.8409629503601,8212,3920,72498839,200,0.00254832274863994,both,1
rail_1,117.483106903542,38.841299857128,8211,3920,72490010,200,0.00254832272253128,both,1
rail_1,117.476719048118,38.8371287896497,8210,3921,72481182,200,0.00254832279319861,both,1
rail_1,117.470783966389,38.8374651420312,8209,3921,72472353,200,0.00254832276713831,both,1
rail_1,117.464848831185,38.8378012278837,8208,3921,72463524,200,0.00254832274110173,both,1
rail_1,117.458913642547,38.8381370472036,8207,3921,72454695,200,0.00254832271508078,both,1
