seg_id,long,lat,pos_x,pos_y,index,speed,time,usage_typ,terrain
road_1,121.259374663205,31.3485052098704,9032,5507,79740206,120,0.00512664457446367,both,1
road_1,121.264749266752,31.3479971736288,9033,5507,79749035,120,0.00512664456995725,both,1
road_1,121.269504761658,31.3429814683566,9034,5508,79757865,120,0.00512664421640064,both,1
road_1,121.274878942495,31.3424729728925,9035,5508,79766694,120,0.00512664421184585,both,1
road_1,121.279633502189,31.3374568233904,9036,5509,79775524,120,0.00512664385817621,both,1
road_1,121.285007260269,31.3369478687579,9037,5509,79784353,120,0.00512664385356936,both,1
road_1,121.289760884861,31.3319312750797,9038,5510,79793183,120,0.00512664349977494,both,1
road_1,121.295134220137,31.3314218613329,9039,5510,79802012,120,0.00512664349511756,both,1
road_1,121.299886909736,31.3264048235322,9040,5511,79810842,120,0.00512664314119872,both,1
road_1,121.305259822162,31.3258949507252,9041,5511,79819671,120,0.005126643136492,both,1
road_1,121.310011576876,31.3208774688556,9042,5512,79828501,120,0.00512664278246157,both,1
road_1,121.315384066405,31.3203671370424,9043,5512,79837330,120,0.00512664277770186,both,1
road_1,121.320134886345,31.3153492111575,9044,5513,79846160,120,0.00512664242355364,both,1
road_1,121.32550695293,31.3148384203921,9045,5513,79854989,120,0.0051266424187459,both,1
road_1,121.330256838204,31.3098200505453,9046,5514,79863819,120,0.00512664206448017,both,1
road_1,121.335628481799,31.3093088008818,9047,5514,79872648,120,0.00512664205960731,both,1
road_1,121.340377432517,31.3042899871268,9048,5515,79881478,120,0.00512664170522956,both,1
road_1,121.345748653075,31.3037782786192,9049,5515,79890307,120,0.0051266417003126,both,1
road_1,121.351119806956,31.3032663284653,9050,5515,79899136,120,0.00512664169538482,both,1
road_1,121.355867466821,31.2982468537115,9051,5516,79907966,120,0.00512664134085369,both,1
road_1,121.361238197569,31.2977344447862,9052,5516,79916795,120,0.00512664133586622,both,1
road_1,121.365984923101,31.2927145262663,9053,5517,79925625,120,0.00512664098121558,both,1
road_1,121.37135523067,31.2922016586236,9054,5517,79934454,120,0.0051266409761956,both,1
road_1,121.376101021976,31.2871812963907,9055,5518,79943284,120,0.00512664062142094,both,1
road_1,121.381470906321,31.2866679700846,9056,5518,79952113,120,0.00512664061634785,both,1
road_1,121.386215763511,31.2816471641923,9057,5519,79960943,120,0.00512664026146387,both,1
road_1,121.391585224585,31.2811333792767,9058,5519,79969772,120,0.00512664025633382,both,1
road_1,121.396329147769,31.2761121297781,9059,5520,79978602,120,0.00512663990133892,both,1
road_1,121.401072493446,31.2710906536941,9060,5521,79987432,120,0.00512663954627602,both,1
road_1,121.406441174813,31.2705761932553,9061,5521,79996261,120,0.00512663954106177,both,1
road_1,121.411183586699,31.2655542736364,9062,5522,80005091,120,0.00512663918588437,both,1
road_1,121.416551844707,31.2650393547312,9063,5522,80013920,120,0.00512663918061043,both,1
road_1,121.421293322912,31.2600169916303,9064,5523,80022750,120,0.00512663882532075,both,1
road_1,121.426034223906,31.2549944019777,9065,5524,80031580,120,0.00512663846996882,both,1
road_1,121.430774547773,31.2499715857709,9066,5525,80040410,120,0.00512663811454957,both,1
road_1,121.435514294595,31.2449485430074,9067,5526,80049240,120,0.00512663775905952,both,1
road_1,121.440253464457,31.2399252736849,9068,5527,80058070,120,0.00512663740350292,both,1
road_1,121.444992057442,31.2349017778007,9069,5528,80066900,120,0.00512663704788953,both,1
road_1,121.449730073635,31.2298780553525,9070,5529,80075730,120,0.00512663669219522,both,1
road_1,121.454467513118,31.2248541063379,9071,5530,80084560,120,0.0051266363364487,both,1
